
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-26


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 3775
Earthquake Name:, Northridge-06
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 3775, -, 1.0, -, 3.0, 3.2, 0.2, "Northridge-06", 1994, "Canoga Park - Topanga Can", 5.28, Reverse, 8.98, 14.2, 267.49, 1.25, 1.0, RSN3775_NORTH392_CNP106.AT2, RSN3775_NORTH392_CNP196.AT2 , RSN3775_NORTH392_CNP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-3775 SRSS pSa (g)
0.01,0.28320663,0.28320663,0.28320663,0.28320663
0.02,0.28182721,0.28182721,0.28182721,0.28182721
0.022,0.28273512,0.28273512,0.28273512,0.28273512
0.025,0.28580148,0.28580148,0.28580148,0.28580148
0.029,0.28628802,0.28628802,0.28628802,0.28628802
0.03,0.28551029,0.28551029,0.28551029,0.28551029
0.032,0.28355382,0.28355382,0.28355382,0.28355382
0.035,0.29160887,0.29160887,0.29160887,0.29160887
0.036,0.29433444,0.29433444,0.29433444,0.29433444
0.04,0.3026051,0.3026051,0.3026051,0.3026051
0.042,0.30486499,0.30486499,0.30486499,0.30486499
0.044,0.31010457,0.31010457,0.31010457,0.31010457
0.045,0.31363638,0.31363638,0.31363638,0.31363638
0.046,0.31294714,0.31294714,0.31294714,0.31294714
0.048,0.32139713,0.32139713,0.32139713,0.32139713
0.05,0.32719603,0.32719603,0.32719603,0.32719603
0.055,0.32781648,0.32781648,0.32781648,0.32781648
0.06,0.3666929,0.3666929,0.3666929,0.3666929
0.065,0.37948954,0.37948954,0.37948954,0.37948954
0.067,0.38350867,0.38350867,0.38350867,0.38350867
0.07,0.37894021,0.37894021,0.37894021,0.37894021
0.075,0.37996291,0.37996291,0.37996291,0.37996291
0.08,0.39256041,0.39256041,0.39256041,0.39256041
0.085,0.41657734,0.41657734,0.41657734,0.41657734
0.09,0.52220518,0.52220518,0.52220518,0.52220518
0.095,0.61254266,0.61254266,0.61254266,0.61254266
0.1,0.64645109,0.64645109,0.64645109,0.64645109
0.11,0.67172742,0.67172742,0.67172742,0.67172742
0.12,0.63058535,0.63058535,0.63058535,0.63058535
0.13,0.59496461,0.59496461,0.59496461,0.59496461
0.133,0.58885422,0.58885422,0.58885422,0.58885422
0.14,0.57344096,0.57344096,0.57344096,0.57344096
0.15,0.56071803,0.56071803,0.56071803,0.56071803
0.16,0.55707861,0.55707861,0.55707861,0.55707861
0.17,0.57096457,0.57096457,0.57096457,0.57096457
0.18,0.55366922,0.55366922,0.55366922,0.55366922
0.19,0.63344602,0.63344602,0.63344602,0.63344602
0.2,0.69433033,0.69433033,0.69433033,0.69433033
0.22,0.629064,0.629064,0.629064,0.629064
0.24,0.70890289,0.70890289,0.70890289,0.70890289
0.25,0.76378567,0.76378567,0.76378567,0.76378567
0.26,0.8159874,0.8159874,0.8159874,0.8159874
0.28,0.79696143,0.79696143,0.79696143,0.79696143
0.29,0.7421196,0.7421196,0.7421196,0.7421196
