
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-26


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 187
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 187, -, 1.0, -, 7.1, 18.6, 0.2, "Imperial Valley-06", 1979, "Parachute Test Site", 6.53, strike slip, 12.69, 12.69, 348.69, 0.0625, 1.0, RSN187_IMPVALL.H_H-PTS225.AT2, RSN187_IMPVALL.H_H-PTS315.AT2 , RSN187_IMPVALL.H_H-PTS-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-187 SRSS pSa (g)
0.01,0.23491304,0.23491304,0.23491304,0.23491304
0.02,0.24429015,0.24429015,0.24429015,0.24429015
0.022,0.25263496,0.25263496,0.25263496,0.25263496
0.025,0.25739712,0.25739712,0.25739712,0.25739712
0.029,0.25564163,0.25564163,0.25564163,0.25564163
0.03,0.25301067,0.25301067,0.25301067,0.25301067
0.032,0.2465253,0.2465253,0.2465253,0.2465253
0.035,0.23986574,0.23986574,0.23986574,0.23986574
0.036,0.24093273,0.24093273,0.24093273,0.24093273
0.04,0.23921176,0.23921176,0.23921176,0.23921176
0.042,0.24611915,0.24611915,0.24611915,0.24611915
0.044,0.2599415,0.2599415,0.2599415,0.2599415
0.045,0.26275956,0.26275956,0.26275956,0.26275956
0.046,0.26561153,0.26561153,0.26561153,0.26561153
0.048,0.26492246,0.26492246,0.26492246,0.26492246
0.05,0.26376637,0.26376637,0.26376637,0.26376637
0.055,0.26051408,0.26051408,0.26051408,0.26051408
0.06,0.26801834,0.26801834,0.26801834,0.26801834
0.065,0.2788902,0.2788902,0.2788902,0.2788902
0.067,0.27995742,0.27995742,0.27995742,0.27995742
0.07,0.28868264,0.28868264,0.28868264,0.28868264
0.075,0.3183934,0.3183934,0.3183934,0.3183934
0.08,0.30584239,0.30584239,0.30584239,0.30584239
0.085,0.28483458,0.28483458,0.28483458,0.28483458
0.09,0.3354658,0.3354658,0.3354658,0.3354658
0.095,0.35959872,0.35959872,0.35959872,0.35959872
0.1,0.35659635,0.35659635,0.35659635,0.35659635
0.11,0.35862076,0.35862076,0.35862076,0.35862076
0.12,0.44387788,0.44387788,0.44387788,0.44387788
0.13,0.5820676,0.5820676,0.5820676,0.5820676
0.133,0.58736415,0.58736415,0.58736415,0.58736415
0.14,0.53611491,0.53611491,0.53611491,0.53611491
0.15,0.48047515,0.48047515,0.48047515,0.48047515
0.16,0.50793206,0.50793206,0.50793206,0.50793206
0.17,0.48886013,0.48886013,0.48886013,0.48886013
0.18,0.49362201,0.49362201,0.49362201,0.49362201
0.19,0.53299082,0.53299082,0.53299082,0.53299082
0.2,0.57250316,0.57250316,0.57250316,0.57250316
0.22,0.46356791,0.46356791,0.46356791,0.46356791
0.24,0.42006627,0.42006627,0.42006627,0.42006627
0.25,0.38401101,0.38401101,0.38401101,0.38401101
0.26,0.41205942,0.41205942,0.41205942,0.41205942
0.28,0.37070353,0.37070353,0.37070353,0.37070353
0.29,0.32842184,0.32842184,0.32842184,0.32842184
0.3,0.30482386,0.30482386,0.30482386,0.30482386
0.32,0.31805152,0.31805152,0.31805152,0.31805152
0.34,0.35087457,0.35087457,0.35087457,0.35087457
0.35,0.37420539,0.37420539,0.37420539,0.37420539
0.36,0.37850624,0.37850624,0.37850624,0.37850624
0.38,0.37896223,0.37896223,0.37896223,0.37896223
0.4,0.37050038,0.37050038,0.37050038,0.37050038
0.42,0.42900212,0.42900212,0.42900212,0.42900212
0.44,0.41590347,0.41590347,0.41590347,0.41590347
0.45,0.38088653,0.38088653,0.38088653,0.38088653
0.46,0.36424457,0.36424457,0.36424457,0.36424457
0.48,0.38750643,0.38750643,0.38750643,0.38750643
0.5,0.42730608,0.42730608,0.42730608,0.42730608
0.55,0.33948354,0.33948354,0.33948354,0.33948354
0.6,0.23125033,0.23125033,0.23125033,0.23125033
0.65,0.20382072,0.20382072,0.20382072,0.20382072
0.667,0.18882494,0.18882494,0.18882494,0.18882494
0.7,0.18941175,0.18941175,0.18941175,0.18941175
0.75,0.16992242,0.16992242,0.16992242,0.16992242
0.8,0.1566552,0.1566552,0.1566552,0.1566552
0.85,0.15303368,0.15303368,0.15303368,0.15303368
0.9,0.15171038,0.15171038,0.15171038,0.15171038
0.95,0.16291022,0.16291022,0.16291022,0.16291022
1.0,0.17562391,0.17562391,0.17562391,0.17562391
1.1,0.1806186,0.1806186,0.1806186,0.1806186
1.2,0.15042227,0.15042227,0.15042227,0.15042227
1.3,0.15032165,0.15032165,0.15032165,0.15032165
1.4,0.14118654,0.14118654,0.14118654,0.14118654
1.5,0.12991529,0.12991529,0.12991529,0.12991529
1.6,0.12168895,0.12168895,0.12168895,0.12168895
