
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 2958
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 2958, -, 1.0, -, 12.3, 36.3, 0.1, "Chi-Chi_ Taiwan-05", 1999, "CHY054", 6.2, Reverse, 88.66, 92.28, 172.1, 0.07, 1.0, RSN2958_CHICHI.05_CHY054N.AT2, RSN2958_CHICHI.05_CHY054E.AT2 , RSN2958_CHICHI.05_CHY054V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-2958 SRSS pSa (g)
0.01,0.08678125,0.08678125,0.08678125,0.08678125
0.02,0.08811876,0.08811876,0.08811876,0.08811876
0.022,0.08897853,0.08897853,0.08897853,0.08897853
0.025,0.08821381,0.08821381,0.08821381,0.08821381
0.029,0.08948981,0.08948981,0.08948981,0.08948981
0.03,0.09023807,0.09023807,0.09023807,0.09023807
0.032,0.09102534,0.09102534,0.09102534,0.09102534
0.035,0.09225739,0.09225739,0.09225739,0.09225739
0.036,0.09245182,0.09245182,0.09245182,0.09245182
0.04,0.09344679,0.09344679,0.09344679,0.09344679
0.042,0.09118502,0.09118502,0.09118502,0.09118502
0.044,0.09281647,0.09281647,0.09281647,0.09281647
0.045,0.0926641,0.0926641,0.0926641,0.0926641
0.046,0.09328219,0.09328219,0.09328219,0.09328219
0.048,0.09680317,0.09680317,0.09680317,0.09680317
0.05,0.09754561,0.09754561,0.09754561,0.09754561
0.055,0.10932673,0.10932673,0.10932673,0.10932673
0.06,0.11612922,0.11612922,0.11612922,0.11612922
0.065,0.12809067,0.12809067,0.12809067,0.12809067
0.067,0.12959216,0.12959216,0.12959216,0.12959216
0.07,0.13095974,0.13095974,0.13095974,0.13095974
0.075,0.12316132,0.12316132,0.12316132,0.12316132
0.08,0.11836595,0.11836595,0.11836595,0.11836595
0.085,0.12442054,0.12442054,0.12442054,0.12442054
0.09,0.13129219,0.13129219,0.13129219,0.13129219
0.095,0.13173361,0.13173361,0.13173361,0.13173361
0.1,0.14780472,0.14780472,0.14780472,0.14780472
0.11,0.16153679,0.16153679,0.16153679,0.16153679
0.12,0.16412297,0.16412297,0.16412297,0.16412297
0.13,0.17656348,0.17656348,0.17656348,0.17656348
0.133,0.1727079,0.1727079,0.1727079,0.1727079
0.14,0.17893841,0.17893841,0.17893841,0.17893841
0.15,0.18229031,0.18229031,0.18229031,0.18229031
0.16,0.17091909,0.17091909,0.17091909,0.17091909
0.17,0.17416754,0.17416754,0.17416754,0.17416754
0.18,0.18775368,0.18775368,0.18775368,0.18775368
0.19,0.19918326,0.19918326,0.19918326,0.19918326
0.2,0.21024364,0.21024364,0.21024364,0.21024364
0.22,0.23197363,0.23197363,0.23197363,0.23197363
0.24,0.21152557,0.21152557,0.21152557,0.21152557
0.25,0.20107457,0.20107457,0.20107457,0.20107457
0.26,0.22209279,0.22209279,0.22209279,0.22209279
0.28,0.2525014,0.2525014,0.2525014,0.2525014
0.29,0.24654332,0.24654332,0.24654332,0.24654332
0.3,0.24893856,0.24893856,0.24893856,0.24893856
0.32,0.26860157,0.26860157,0.26860157,0.26860157
0.34,0.23634953,0.23634953,0.23634953,0.23634953
0.35,0.21187238,0.21187238,0.21187238,0.21187238
0.36,0.18986793,0.18986793,0.18986793,0.18986793
0.38,0.16613654,0.16613654,0.16613654,0.16613654
0.4,0.15624783,0.15624783,0.15624783,0.15624783
0.42,0.15852531,0.15852531,0.15852531,0.15852531
0.44,0.14915336,0.14915336,0.14915336,0.14915336
0.45,0.14655003,0.14655003,0.14655003,0.14655003
0.46,0.1452708,0.1452708,0.1452708,0.1452708
0.48,0.14233421,0.14233421,0.14233421,0.14233421
0.5,0.14664285,0.14664285,0.14664285,0.14664285
0.55,0.1336442,0.1336442,0.1336442,0.1336442
0.6,0.14449646,0.14449646,0.14449646,0.14449646
0.65,0.14565632,0.14565632,0.14565632,0.14565632
0.667,0.14354448,0.14354448,0.14354448,0.14354448
0.7,0.13528588,0.13528588,0.13528588,0.13528588
