
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-26


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 949
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 949, -, 1.0, -, 6.4, 13.5, 1.5, "Northridge-01", 1994, "Arleta - Nordhoff Fire Sta", 6.69, Reverse, 3.3, 8.66, 297.71, 0.12, 1.0, RSN949_NORTHR_ARL090.AT2, RSN949_NORTHR_ARL360.AT2 , RSN949_NORTHR_ARL-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-949 SRSS pSa (g)
0.01,0.463981,0.463981,0.463981,0.463981
0.02,0.46579085,0.46579085,0.46579085,0.46579085
0.022,0.46440201,0.46440201,0.46440201,0.46440201
0.025,0.46450829,0.46450829,0.46450829,0.46450829
0.029,0.47707362,0.47707362,0.47707362,0.47707362
0.03,0.47629849,0.47629849,0.47629849,0.47629849
0.032,0.4756725,0.4756725,0.4756725,0.4756725
0.035,0.48040886,0.48040886,0.48040886,0.48040886
0.036,0.48116326,0.48116326,0.48116326,0.48116326
0.04,0.46751739,0.46751739,0.46751739,0.46751739
0.042,0.46599053,0.46599053,0.46599053,0.46599053
0.044,0.48194077,0.48194077,0.48194077,0.48194077
0.045,0.48615588,0.48615588,0.48615588,0.48615588
0.046,0.4860649,0.4860649,0.4860649,0.4860649
0.048,0.48037711,0.48037711,0.48037711,0.48037711
0.05,0.47595346,0.47595346,0.47595346,0.47595346
0.055,0.48467999,0.48467999,0.48467999,0.48467999
0.06,0.51611642,0.51611642,0.51611642,0.51611642
0.065,0.5223973,0.5223973,0.5223973,0.5223973
0.067,0.54018632,0.54018632,0.54018632,0.54018632
0.07,0.56044497,0.56044497,0.56044497,0.56044497
0.075,0.56069267,0.56069267,0.56069267,0.56069267
0.08,0.65867551,0.65867551,0.65867551,0.65867551
0.085,0.63855133,0.63855133,0.63855133,0.63855133
0.09,0.66736713,0.66736713,0.66736713,0.66736713
0.095,0.80972333,0.80972333,0.80972333,0.80972333
0.1,0.78239349,0.78239349,0.78239349,0.78239349
0.11,0.73374753,0.73374753,0.73374753,0.73374753
0.12,0.82439262,0.82439262,0.82439262,0.82439262
0.13,0.81829251,0.81829251,0.81829251,0.81829251
0.133,0.81029195,0.81029195,0.81029195,0.81029195
0.14,0.8462896,0.8462896,0.8462896,0.8462896
0.15,0.76410742,0.76410742,0.76410742,0.76410742
0.16,0.86472037,0.86472037,0.86472037,0.86472037
0.17,0.84174624,0.84174624,0.84174624,0.84174624
0.18,0.84621052,0.84621052,0.84621052,0.84621052
0.19,0.87243888,0.87243888,0.87243888,0.87243888
0.2,1.04497257,1.04497257,1.04497257,1.04497257
0.22,1.05746628,1.05746628,1.05746628,1.05746628
0.24,1.3134339,1.3134339,1.3134339,1.3134339
0.25,1.2352553,1.2352553,1.2352553,1.2352553
0.26,1.11164746,1.11164746,1.11164746,1.11164746
0.28,1.09534527,1.09534527,1.09534527,1.09534527
0.29,1.02566887,1.02566887,1.02566887,1.02566887
0.3,1.02962755,1.02962755,1.02962755,1.02962755
0.32,1.18769047,1.18769047,1.18769047,1.18769047
0.34,1.20816983,1.20816983,1.20816983,1.20816983
0.35,1.14347048,1.14347048,1.14347048,1.14347048
0.36,1.01880513,1.01880513,1.01880513,1.01880513
0.38,0.78918747,0.78918747,0.78918747,0.78918747
0.4,0.7624057,0.7624057,0.7624057,0.7624057
0.42,0.75110594,0.75110594,0.75110594,0.75110594
0.44,0.76089158,0.76089158,0.76089158,0.76089158
0.45,0.75530679,0.75530679,0.75530679,0.75530679
0.46,0.7918319,0.7918319,0.7918319,0.7918319
0.48,0.78536454,0.78536454,0.78536454,0.78536454
0.5,0.79356733,0.79356733,0.79356733,0.79356733
0.55,0.82028826,0.82028826,0.82028826,0.82028826
0.6,0.90210433,0.90210433,0.90210433,0.90210433
0.65,0.93341479,0.93341479,0.93341479,0.93341479
0.667,0.92831152,0.92831152,0.92831152,0.92831152
0.7,0.91206116,0.91206116,0.91206116,0.91206116
0.75,0.87583442,0.87583442,0.87583442,0.87583442
0.8,0.83063137,0.83063137,0.83063137,0.83063137
0.85,0.78510154,0.78510154,0.78510154,0.78510154
0.9,0.72511631,0.72511631,0.72511631,0.72511631
0.95,0.6630947,0.6630947,0.6630947,0.6630947
1.0,0.60080093,0.60080093,0.60080093,0.60080093
1.1,0.50439908,0.50439908,0.50439908,0.50439908
1.2,0.43521885,0.43521885,0.43521885,0.43521885
1.3,0.37032482,0.37032482,0.37032482,0.37032482
1.4,0.32042936,0.32042936,0.32042936,0.32042936
